contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
IBM240621P00155000,IBM,2024-06-21,155.00,put,0.00,0.01,0.00,0,0.05,5,0,11100,2024-06-18,0.41327,-0.00491,0.00223,-0.05485,0.00220,-0.00007
IBM240621C00157500,IBM,2024-06-21,157.50,call,8.90,13.10,11.20,37,15.00,37,0,4,2024-06-18,0.30703,1.00000,0.00000,-0.08391,0.00000,0.01294
IBM240621P00157500,IBM,2024-06-21,157.50,put,0.05,0.01,0.00,0,0.12,99,20,284,2024-06-18,0.35107,-0.00569,0.00299,-0.05306,0.00251,-0.00008
IBM240621C00160000,IBM,2024-06-21,160.00,call,10.40,10.25,9.10,37,11.40,39,24,1718,2024-06-18,0.24821,1.00000,0.00000,-0.08524,0.00000,0.01314
IBM240621P00160000,IBM,2024-06-21,160.00,put,0.04,0.05,0.03,27,0.07,30,94,2591,2024-06-18,0.36052,-0.02366,0.01001,-0.18707,0.00863,-0.00034
IBM240621C00162500,IBM,2024-06-21,162.50,call,6.77,8.90,7.75,37,10.05,37,7,131,2024-06-18,0.56555,0.83576,0.02830,-1.38777,0.03827,0.01098
IBM240621P00162500,IBM,2024-06-21,162.50,put,0.08,0.07,0.04,284,0.10,50,35,467,2024-06-18,0.30351,-0.03698,0.01723,-0.22738,0.01250,-0.00052
IBM240621C00165000,IBM,2024-06-21,165.00,call,5.55,6.38,5.65,7,7.10,47,49,2609,2024-06-18,0.44223,0.80404,0.04044,-1.21996,0.04276,0.01075
IBM240621P00165000,IBM,2024-06-21,165.00,put,0.18,0.19,0.17,20,0.21,42,555,4851,2024-06-18,0.28172,-0.09254,0.03806,-0.43078,0.02563,-0.00131
IBM240621C00167500,IBM,2024-06-21,167.50,call,3.70,3.60,3.45,54,3.75,6,104,516,2024-06-18,0.25656,0.78996,0.07266,-0.76548,0.04457,0.01078
IBM240621P00167500,IBM,2024-06-21,167.50,put,0.46,0.46,0.43,6,0.50,42,328,1031,2024-06-18,0.25275,-0.20666,0.07305,-0.65969,0.04414,-0.00293
IBM240621C00170000,IBM,2024-06-21,170.00,call,1.92,1.92,1.81,41,2.02,65,1861,7863,2024-06-18,0.25794,0.56693,0.09862,-1.00476,0.06081,0.00779
IBM240621P00170000,IBM,2024-06-21,170.00,put,1.23,1.25,1.19,1,1.32,59,601,5629,2024-06-18,0.25047,-0.43137,0.10149,-0.88605,0.06077,-0.00615
IBM240621C00172500,IBM,2024-06-21,172.50,call,0.90,0.87,0.82,20,0.92,8,10221,2869,2024-06-18,0.26434,0.32847,0.08844,-0.92816,0.05589,0.00453
IBM240621P00172500,IBM,2024-06-21,172.50,put,2.63,2.79,2.57,44,3.00,60,22,379,2024-06-18,0.27242,-0.66649,0.08634,-0.86980,0.05623,-0.00957
IBM240621C00175000,IBM,2024-06-21,175.00,call,0.40,0.30,0.20,131,0.40,20,531,4320,2024-06-18,0.26175,0.14569,0.05650,-0.57601,0.03535,0.00202
IBM240621P00175000,IBM,2024-06-21,175.00,put,4.67,5.35,4.05,78,6.65,55,54,1972,2024-06-18,0.41601,-0.74295,0.05013,-1.19138,0.04986,-0.01085
IBM240621C00177500,IBM,2024-06-21,177.50,call,0.17,0.15,0.10,341,0.21,10,156,1160,2024-06-18,0.29803,0.07373,0.03032,-0.39829,0.02160,0.00102
IBM240621P00177500,IBM,2024-06-21,177.50,put,0.00,6.60,5.70,37,7.50,38,0,2,2024-06-18,0.16351,-1.00000,0.00000,0.09457,0.00000,-0.01458
IBM240621C00180000,IBM,2024-06-21,180.00,call,0.09,0.12,0.02,247,0.22,101,288,3712,2024-06-18,0.35931,0.05200,0.01915,-0.36426,0.01645,0.00072
IBM240621P00180000,IBM,2024-06-21,180.00,put,11.24,10.18,8.90,37,11.45,37,326,510,2024-06-18,0.59741,-0.83161,0.02723,-1.33231,0.03889,-0.01249
IBM240621C00182500,IBM,2024-06-21,182.50,call,0.03,0.13,0.03,17,0.23,51,21,648,2024-06-18,0.43811,0.04705,0.01450,-0.40908,0.01519,0.00065
IBM240621P00182500,IBM,2024-06-21,182.50,put,0.00,12.10,10.35,37,13.85,37,0,3,2024-06-18,0.49391,-0.93059,0.01747,-0.52864,0.02062,-0.01404
IBM240621C00185000,IBM,2024-06-21,185.00,call,0.02,0.23,0.02,38,0.43,47,30,2469,2024-06-18,0.56936,0.06163,0.01382,-0.65692,0.01881,0.00084
IBM240621P00185000,IBM,2024-06-21,185.00,put,16.15,15.05,13.80,37,16.30,37,335,167,2024-06-18,0.74664,-0.87721,0.01761,-1.34002,0.03143,-0.01353
IBM240621C00187500,IBM,2024-06-21,187.50,call,0.02,0.01,0.01,207,0.02,5,18,2095,2024-06-18,0.40244,0.00513,0.00238,-0.05650,0.00229,0.00007
IBM240621P00187500,IBM,2024-06-21,187.50,put,0.00,17.25,15.65,38,18.85,37,0,0,2024-06-18,0.71768,-0.92176,0.01317,-0.89387,0.02260,-0.01434
IBM240621C00190000,IBM,2024-06-21,190.00,call,0.01,0.01,0.00,0,0.01,40,0,1901,2024-06-18,0.45214,0.00461,0.00193,-0.05766,0.00208,0.00006
IBM240621P00190000,IBM,2024-06-21,190.00,put,21.40,20.12,18.90,37,21.35,37,110,66,2024-06-18,0.93902,-0.88893,0.01304,-1.58082,0.02928,-0.01411
IBM240621C00192500,IBM,2024-06-21,192.50,call,0.01,0.01,0.00,0,0.15,37,0,187,2024-06-18,0.50061,0.00420,0.00160,-0.05871,0.00192,0.00006
IBM240621P00192500,IBM,2024-06-21,192.50,put,0.00,22.17,20.70,37,23.65,37,0,0,2024-06-18,0.82439,-0.94256,0.00903,-0.79510,0.01780,-0.01503
IBM240621C00195000,IBM,2024-06-21,195.00,call,0.01,0.01,0.00,0,0.75,1,0,4582,2024-06-18,0.54802,0.00387,0.00136,-0.05969,0.00178,0.00005
IBM240621P00195000,IBM,2024-06-21,195.00,put,25.85,25.07,24.00,37,26.15,59,53,30,2024-06-18,1.07895,-0.90595,0.01006,-1.60695,0.02594,-0.01476
IBM240621C00197500,IBM,2024-06-21,197.50,call,0.01,0.01,0.00,0,0.01,5,0,361,2024-06-18,0.59436,0.00360,0.00117,-0.06056,0.00167,0.00005
IBM240621P00197500,IBM,2024-06-21,197.50,put,0.00,27.35,25.85,37,28.85,57,0,0,2024-06-18,1.05792,-0.93018,0.00819,-1.23429,0.02072,-0.01529
IBM240621C00200000,IBM,2024-06-21,200.00,call,0.01,0.01,0.00,0,0.01,59,3,11572,2024-06-18,0.63979,0.00337,0.00103,-0.06139,0.00157,0.00005
IBM240621P00200000,IBM,2024-06-21,200.00,put,0.00,29.82,28.45,39,31.20,37,0,0,2024-06-18,1.11203,-0.93640,0.00725,-1.20298,0.01928,-0.01558
IBM240621C00205000,IBM,2024-06-21,205.00,call,0.01,0.01,0.00,0,1.27,43,4,669,2024-06-18,0.72789,0.00299,0.00081,-0.06281,0.00141,0.00004
IBM240621P00205000,IBM,2024-06-21,205.00,put,0.00,34.90,33.40,38,36.40,36,0,0,2024-06-18,1.28718,-0.93505,0.00637,-1.43061,0.01959,-0.01598
IBM240621C00210000,IBM,2024-06-21,210.00,call,0.01,0.01,0.00,0,0.10,46,3,3339,2024-06-18,0.81295,0.00271,0.00067,-0.06416,0.00129,0.00004
IBM240621P00210000,IBM,2024-06-21,210.00,put,0.00,40.15,38.95,39,41.35,49,0,0,2024-06-18,1.53839,-0.92206,0.00613,-2.00397,0.02254,-0.01623
IBM240621C00215000,IBM,2024-06-21,215.00,call,0.04,0.01,0.00,0,0.05,1,0,2850,2024-06-18,0.89496,0.00249,0.00056,-0.06527,0.00119,0.00003
IBM240621P00215000,IBM,2024-06-21,215.00,put,0.00,44.85,43.30,37,46.40,52,0,0,2024-06-18,1.51141,-0.94723,0.00461,-1.42045,0.01665,-0.01696
IBM240621C00220000,IBM,2024-06-21,220.00,call,0.01,0.01,0.00,0,0.01,6,1,3567,2024-06-18,0.97423,0.00230,0.00048,-0.06621,0.00111,0.00003
IBM240621P00220000,IBM,2024-06-21,220.00,put,0.00,49.83,48.30,39,51.35,38,0,2,2024-06-18,1.61659,-0.95163,0.00402,-1.41414,0.01553,-0.01744
IBM240621C00225000,IBM,2024-06-21,225.00,call,0.05,0.01,0.00,0,0.01,2,0,431,2024-06-18,1.05121,0.00215,0.00042,-0.06718,0.00105,0.00003
IBM240621P00225000,IBM,2024-06-21,225.00,put,0.00,54.92,53.45,37,56.40,41,0,0,2024-06-18,1.78717,-0.94806,0.00385,-1.67154,0.01644,-0.01780
IBM240621C00230000,IBM,2024-06-21,230.00,call,0.01,0.01,0.00,0,1.05,60,0,763,2024-06-18,1.12575,0.00202,0.00037,-0.06796,0.00099,0.00003
IBM240621P00230000,IBM,2024-06-21,230.00,put,0.00,59.83,58.40,39,61.25,37,0,0,2024-06-18,1.83899,-0.95616,0.00326,-1.48679,0.01435,-0.01832
IBM240621C00235000,IBM,2024-06-21,235.00,call,0.02,0.01,0.00,0,0.04,5,0,1069,2024-06-18,1.19816,0.00191,0.00033,-0.06868,0.00094,0.00003
IBM240621P00235000,IBM,2024-06-21,235.00,put,0.00,64.85,63.30,39,66.40,51,0,0,2024-06-18,1.95911,-0.95669,0.00303,-1.57198,0.01421,-0.01874
IBM240621C00240000,IBM,2024-06-21,240.00,call,0.01,0.01,0.00,0,1.03,72,0,256,2024-06-18,1.26873,0.00182,0.00030,-0.06944,0.00090,0.00002
IBM240621P00240000,IBM,2024-06-21,240.00,put,0.00,69.95,68.50,39,71.40,51,0,0,2024-06-18,2.13091,-0.95248,0.00301,-1.86085,0.01531,-0.01910
IBM240621C00245000,IBM,2024-06-21,245.00,call,0.01,0.01,0.00,0,1.03,77,0,48,2024-06-18,1.33733,0.00173,0.00027,-0.07009,0.00086,0.00002
IBM240621P00245000,IBM,2024-06-21,245.00,put,0.00,74.85,73.30,37,76.40,41,0,0,2024-06-18,2.16201,-0.95975,0.00259,-1.63413,0.01339,-0.01961
IBM240621C00250000,IBM,2024-06-21,250.00,call,0.01,0.01,0.00,0,0.75,1,0,113,2024-06-18,1.40410,0.00166,0.00025,-0.07067,0.00083,0.00002
IBM240621P00250000,IBM,2024-06-21,250.00,put,0.00,79.95,78.50,39,81.40,51,0,0,2024-06-18,2.33182,-0.95555,0.00260,-1.92892,0.01451,-0.01997
IBM240621C00255000,IBM,2024-06-21,255.00,call,0.17,0.01,0.00,0,1.03,46,0,80,2024-06-18,1.46934,0.00159,0.00023,-0.07128,0.00080,0.00002
IBM240621P00255000,IBM,2024-06-21,255.00,put,0.00,84.85,83.35,37,86.35,56,0,0,2024-06-18,2.35362,-0.96216,0.00226,-1.69067,0.01273,-0.02046
IBM240621C00260000,IBM,2024-06-21,260.00,call,0.10,0.01,0.00,0,0.25,41,0,390,2024-06-18,1.53290,0.00153,0.00021,-0.07182,0.00077,0.00002
IBM240621P00260000,IBM,2024-06-21,260.00,put,0.00,90.20,89.00,37,91.40,41,0,0,2024-06-18,2.68425,-0.94621,0.00263,-2.62541,0.01690,-0.02068
IBM240621C00265000,IBM,2024-06-21,265.00,call,0.01,0.01,0.00,0,1.03,45,0,26,2024-06-18,1.59495,0.00148,0.00020,-0.07232,0.00074,0.00002
IBM240621P00265000,IBM,2024-06-21,265.00,put,0.00,94.90,93.40,36,96.40,52,0,0,2024-06-18,2.57511,-0.96156,0.00210,-1.88270,0.01290,-0.02128
IBM240621C00270000,IBM,2024-06-21,270.00,call,0.01,0.01,0.00,0,1.03,51,0,49,2024-06-18,1.65562,0.00143,0.00018,-0.07281,0.00072,0.00002
IBM240621P00270000,IBM,2024-06-21,270.00,put,0.00,99.88,98.40,39,101.35,37,0,0,2024-06-18,2.64736,-0.96345,0.00196,-1.85273,0.01238,-0.02171
IBM240621C00275000,IBM,2024-06-21,275.00,call,0.01,0.01,0.00,0,1.03,45,0,6,2024-06-18,1.71491,0.00138,0.00017,-0.07328,0.00070,0.00002
IBM240621P00275000,IBM,2024-06-21,275.00,put,0.00,104.90,103.40,39,106.40,51,0,0,2024-06-18,2.74934,-0.96330,0.00189,-1.93406,0.01242,-0.02213
IBM240621C00280000,IBM,2024-06-21,280.00,call,0.38,0.01,0.00,0,0.05,1,100,137,2024-06-18,1.77299,0.00134,0.00016,-0.07377,0.00068,0.00002
IBM240621P00280000,IBM,2024-06-21,280.00,put,0.00,110.12,108.85,37,111.40,52,0,0,2024-06-18,2.99613,-0.95427,0.00207,-2.56075,0.01485,-0.02243
IBM240621C00290000,IBM,2024-06-21,290.00,call,0.03,0.01,0.00,0,1.03,45,0,67,2024-06-18,1.88518,0.00127,0.00014,-0.07455,0.00065,0.00002
IBM240621P00290000,IBM,2024-06-21,290.00,put,0.00,119.95,118.50,39,121.40,51,0,0,2024-06-18,3.03698,-0.96318,0.00172,-2.14964,0.01246,-0.02336
IBM240628C00095000,IBM,2024-06-28,95.00,call,0.00,75.67,75.25,39,76.10,48,0,0,2024-06-18,0.64635,1.00000,0.00000,-0.05056,0.00000,0.02599
IBM240628P00095000,IBM,2024-06-28,95.00,put,0.00,0.01,0.00,0,0.23,41,0,0,2024-06-18,1.18703,-0.00102,0.00010,-0.02090,0.00097,-0.00005
IBM240628C00100000,IBM,2024-06-28,100.00,call,0.00,70.70,70.30,37,71.10,39,0,0,2024-06-18,1.01158,0.99948,0.00006,-0.06273,0.00052,0.02733
IBM240628P00100000,IBM,2024-06-28,100.00,put,0.00,0.01,0.00,0,0.23,41,0,0,2024-06-18,1.08932,-0.00111,0.00012,-0.02069,0.00105,-0.00005
IBM240628C00105000,IBM,2024-06-28,105.00,call,0.00,65.68,65.20,41,66.15,48,0,0,2024-06-18,0.56079,1.00000,0.00000,-0.05588,0.00000,0.02873
IBM240628P00105000,IBM,2024-06-28,105.00,put,0.00,0.01,0.00,0,0.23,41,0,0,2024-06-18,0.99633,-0.00121,0.00014,-0.02050,0.00113,-0.00006
IBM240628C00110000,IBM,2024-06-28,110.00,call,0.00,60.70,60.30,37,61.10,45,0,0,2024-06-18,0.51802,1.00000,0.00000,-0.05854,0.00000,0.03009
IBM240628P00110000,IBM,2024-06-28,110.00,put,0.00,0.01,0.00,0,0.23,41,0,0,2024-06-18,0.90716,-0.00133,0.00017,-0.02025,0.00123,-0.00006
IBM240628C00115000,IBM,2024-06-28,115.00,call,0.00,55.72,55.30,37,56.15,45,0,0,2024-06-18,0.72561,0.99960,0.00007,-0.06656,0.00041,0.03144
IBM240628P00115000,IBM,2024-06-28,115.00,put,0.00,0.01,0.00,0,0.23,48,0,0,2024-06-18,0.82164,-0.00146,0.00020,-0.01999,0.00134,-0.00007
IBM240628C00120000,IBM,2024-06-28,120.00,call,0.00,50.72,50.30,43,51.15,45,0,0,2024-06-18,0.43247,1.00000,0.00000,-0.06387,0.00000,0.03283
IBM240628P00120000,IBM,2024-06-28,120.00,put,0.01,0.01,0.00,0,0.23,55,10,0,2024-06-18,0.73948,-0.00161,0.00025,-0.01972,0.00147,-0.00008
IBM240628C00125000,IBM,2024-06-28,125.00,call,0.00,45.75,45.35,39,46.15,48,0,0,2024-06-18,0.69756,0.99712,0.00045,-0.09792,0.00249,0.03406
IBM240628P00125000,IBM,2024-06-28,125.00,put,0.01,0.01,0.00,0,0.08,1,8,2,2024-06-18,0.66021,-0.00180,0.00031,-0.01942,0.00163,-0.00009
IBM240628C00130000,IBM,2024-06-28,130.00,call,0.00,40.75,40.35,38,41.15,39,0,0,2024-06-18,0.58506,0.99793,0.00040,-0.08873,0.00185,0.03546
IBM240628P00130000,IBM,2024-06-28,130.00,put,0.00,0.01,0.00,0,0.23,111,0,8,2024-06-18,0.58354,-0.00202,0.00039,-0.01909,0.00181,-0.00010
IBM240628C00135000,IBM,2024-06-28,135.00,call,0.00,35.78,35.35,35,36.20,45,0,0,2024-06-18,0.57805,0.99390,0.00106,-0.12268,0.00487,0.03664
IBM240628P00135000,IBM,2024-06-28,135.00,put,0.00,0.01,0.00,0,0.07,1,0,500,2024-06-18,0.50915,-0.00230,0.00050,-0.01870,0.00204,-0.00011
IBM240628C00140000,IBM,2024-06-28,140.00,call,0.00,31.68,30.35,37,33.00,45,0,0,2024-06-18,0.88917,0.92287,0.00576,-0.72942,0.04082,0.03444
IBM240628P00140000,IBM,2024-06-28,140.00,put,0.00,0.01,0.00,0,0.23,138,0,23,2024-06-18,0.43674,-0.00266,0.00067,-0.01823,0.00232,-0.00013
IBM240628C00145000,IBM,2024-06-28,145.00,call,0.00,25.77,25.35,41,26.20,45,0,0,2024-06-18,0.35976,0.99728,0.00082,-0.09245,0.00236,0.03954
IBM240628P00145000,IBM,2024-06-28,145.00,put,0.00,0.13,0.02,7,0.24,120,0,20,2024-06-18,0.50869,-0.02346,0.00386,-0.14302,0.01564,-0.00113
IBM240628C00150000,IBM,2024-06-28,150.00,call,20.57,20.80,20.35,44,21.25,45,0,4,2024-06-18,0.33842,0.99052,0.00266,-0.12332,0.00718,0.04058
IBM240628P00150000,IBM,2024-06-28,150.00,put,0.08,0.14,0.03,9,0.24,109,1,16,2024-06-18,0.42348,-0.02954,0.00562,-0.14380,0.01896,-0.00142
IBM240628C00152500,IBM,2024-06-28,152.50,call,0.00,18.32,17.90,37,18.75,45,0,0,2024-06-18,0.31815,0.98531,0.00414,-0.14077,0.01050,0.04102
IBM240628P00152500,IBM,2024-06-28,152.50,put,0.00,0.15,0.03,12,0.26,146,0,3,2024-06-18,0.38278,-0.03436,0.00704,-0.14687,0.02148,-0.00165
IBM240628C00155000,IBM,2024-06-28,155.00,call,13.33,15.82,15.40,38,16.25,41,0,2,2024-06-18,0.27516,0.98438,0.00505,-0.13664,0.01107,0.04166
IBM240628P00155000,IBM,2024-06-28,155.00,put,0.07,0.08,0.04,11,0.12,2,1,51,2024-06-18,0.30168,-0.02449,0.00675,-0.08701,0.01622,-0.00117
IBM240628C00157500,IBM,2024-06-28,157.50,call,13.69,14.22,12.85,38,15.60,38,0,2,2024-06-18,0.46388,0.86306,0.01674,-0.59486,0.06189,0.03643
